Format,Number,Typeless format,SRGB format,Linear format,Type,SRGB,Channel 0,Channel 1,Channel 2, Channel 3,Channel 0 bits,Channel 1 bits,Channel 2 bits,Channel 3 bits,Element type,DisplayType,Channel 0 type,Channel 1 type,Channel 2 type,Channel 3 type
DXGI_FORMAT_R32_TYPELESS,39,DXGI_FORMAT_R32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,N,N,N,32,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_D32_FLOAT,40,DXGI_FORMAT_R32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_D32_FLOAT,Float,FALSE,D,N,N,N,32,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32_FLOAT,41,DXGI_FORMAT_R32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32_FLOAT,Float,FALSE,R,N,N,N,32,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32_UINT,42,DXGI_FORMAT_R32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32_UINT,UInt,FALSE,R,N,N,N,32,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R32_SINT,43,DXGI_FORMAT_R32_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R32_SINT,SInt,FALSE,R,N,N,N,32,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R24G8_TYPELESS,44,DXGI_FORMAT_R24G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,G,N,N,24,8,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_D24_UNORM_S8_UINT,45,DXGI_FORMAT_R24G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_D24_UNORM_S8_UINT,PerChannel,FALSE,D,S,N,N,24,8,0,0,Pixel,Hardware,UNorm,UInt,Void,Void
DXGI_FORMAT_R24_UNORM_X8_TYPELESS,46,DXGI_FORMAT_R24G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R24_UNORM_X8_TYPELESS,PerChannel,FALSE,R,X,N,N,24,8,0,0,Pixel,Hardware,UNorm,Typeless,Void,Void
DXGI_FORMAT_X24_TYPELESS_G8_UINT,47,DXGI_FORMAT_R24G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_X24_TYPELESS_G8_UINT,PerChannel,FALSE,X,G,N,N,24,8,0,0,Pixel,Hardware,Typeless,UInt,Void,Void
DXGI_FORMAT_R8G8_TYPELESS,48,DXGI_FORMAT_R8G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,G,N,N,8,8,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8_UNORM,49,DXGI_FORMAT_R8G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8G8_UNORM,UNorm,FALSE,R,G,N,N,8,8,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8_UINT,50,DXGI_FORMAT_R8G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8G8_UINT,UInt,FALSE,R,G,N,N,8,8,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8_SNORM,51,DXGI_FORMAT_R8G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8G8_SNORM,SNorm,FALSE,R,G,N,N,8,8,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R8G8_SINT,52,DXGI_FORMAT_R8G8_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R8G8_SINT,SInt,FALSE,R,G,N,N,8,8,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16_TYPELESS,53,DXGI_FORMAT_R16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_UNKNOWN,Typeless,FALSE,R,N,N,N,16,0,0,0,Pixel,Hardware,Void,Void,Void,Void
DXGI_FORMAT_R16_FLOAT,54,DXGI_FORMAT_R16_TYPELESS,DXGI_FORMAT_UNKNOWN,DXGI_FORMAT_R16_FLOAT,Float,FALSE,R,N,N,N,16,0,0,0,Pixel,Hardware,Void,Void,Void,Void
